x,y,z
-6.19739,7.84757,0.0892787
4.51288,7.84357,-4.25586
-0.453616,7.83957,6.19156
-3.85128,7.83557,-4.8756
6.13816,7.83157,0.994797
-5.20206,7.82757,3.41581
1.53009,7.82357,-6.03744
2.9527,7.81956,5.48963
-5.89003,7.81556,-2.05537
5.73596,7.81156,-2.46542
-2.56656,7.80756,5.69691
-1.95763,7.80356,-5.93903
5.45942,7.79956,3.05967
-6.09715,7.79556,1.43319
3.53086,7.79156,-5.17925
0.896077,7.78756,6.20894
-4.85842,7.78356,-3.97643
6.27342,7.77956,-0.350376
-4.39288,7.77556,4.49926
0.19974,7.77155,-6.28992
4.10442,7.76755,4.77691
-6.25817,7.76355,-0.750051
5.12546,7.75955,-3.67682
-1.29633,7.75555,6.17826
-3.21966,7.75155,-5.43574
6.05067,7.74755,1.83435
-5.70525,7.74355,2.73634
2.35997,7.73955,-5.87622
2.23052,7.73555,5.93179
-5.65611,7.73155,-2.86908
6.11347,7.72755,-1.70601
-3.35774,7.72355,5.39189
-1.16679,7.71954,-6.24878
5.08546,7.71554,3.82211
-6.33652,7.71154,0.616955
4.25855,7.70754,-4.73904
0.0607077,7.70354,6.37587
-4.35519,7.69954,-4.66363
6.36639,7.69554,0.497695
-5.03412,7.69154,3.93673
1.05396,7.68754,-6.308
3.48678,7.68354,5.36709
-6.20101,7.67954,-1.60382
5.65984,7.67554,-3.00871
-2.14301,7.67153,6.04608
-2.50611,7.66753,-5.91002
5.84427,7.66353,2.66736
-6.11557,7.65953,1.98277
3.17278,7.65553,-5.59699
1.44265,7.65153,6.27478
-5.30601,7.64753,-3.65535
6.38628,7.64353,-0.889855
-4.11128,7.63953,4.97343
-0.328602,7.63553,-6.44909
4.60169,7.63153,4.53699
-6.46257,7.62753,-0.23682
4.92911,7.62352,-4.19353
-0.802077,7.61952,6.42647
-3.75199,7.61552,-5.28454
6.34093,7.61152,1.36282
-5.60043,7.60752,3.28037
1.91473,7.60352,-6.20647
2.78219,7.59952,5.87424
-6.02397,7.59552,-2.45354
6.10375,7.59152,-2.26122
-2.97506,7.58752,5.79471
-1.7214,7.58352,-6.28705
5.5203,7.57952,3.47523
-6.42262,7.57551,1.16682
